new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
True,711,112,5,7,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.44903302192688,187.1155071258545,60.72093023255814,2.6511627906976742,0.1627906976744186,1.1395348837209305,0.627906976744186,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,8,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.77140307426453,187.1155071258545,61.88636363636363,2.7045454545454546,0.1818181818181818,1.2954545454545454,0.6363636363636364,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,9,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0816440582276,187.1155071258545,63.0,2.7555555555555555,0.2,1.4666666666666666,0.6444444444444445,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,10,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.39096236228943,187.1155071258545,64.06521739130434,2.8043478260869565,0.217391304347826,1.6521739130434785,0.6521739130434783,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,11,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.7228081226349,187.1155071258545,65.08510638297872,2.851063829787234,0.2340425531914893,1.851063829787234,0.6595744680851063,112.0,5.0,0.0,0.0,112.0,5.0
False,717,113,5,11,False,True,1,6.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,251.05431818962097,251.0542583465576,66.08333333333333,2.895833333333333,0.2291666666666666,2.0416666666666665,0.6666666666666666,113.0,5.0,0.0,0.0,113.0,5.0
False,729,115,5,11,False,False,1,12.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,256.3514852523804,256.3514540195465,67.08163265306122,2.938775510204082,0.2244897959183673,2.224489795918368,0.673469387755102,115.0,5.0,0.0,0.0,115.0,5.0
False,765,122,5,11,False,False,1,36.0,7.0,0.0,36.0,7.0,0.0,0.0,0.0,0.0,261.66911911964417,261.6690843105316,68.18,2.98,0.22,2.4,0.68,122.0,5.0,0.0,0.0,122.0,5.0
False,789,126,5,11,False,False,1,24.0,4.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,266.9773051738739,266.9772481918335,69.31372549019608,3.019607843137255,0.2156862745098039,2.5686274509803924,0.6862745098039216,126.0,5.0,0.0,0.0,126.0,5.0
False,806,129,5,11,False,False,1,17.0,3.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,272.39346623420715,272.39342522621155,70.46153846153847,3.0576923076923075,0.2115384615384615,2.730769230769231,0.6923076923076923,129.0,5.0,0.0,0.0,129.0,5.0
