,charcount,wordcount,sentencecount,standby,number of standby,roadblock number,chars prodocued,words produced,sentences produced,chars deleted,words deleted,sentences deleted,change in charcount,change in wordcount,change in sentencecount,5rSUMMARY charcount,5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
202,203,2814,476,26,False,50,13,36.0,3.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,419.8666666666667,22.3,0.3,42.18333333333333,11.35,107.0,6.0,2.0,0.0,105.0,6.0
203,204,2824,479,27,False,50,13,10.0,3.0,1.0,10.0,3.0,1.0,0.0,0.0,0.0,421.5833333333333,22.4,0.3,42.48333333333333,11.416666666666666,105.0,6.0,2.0,0.0,103.0,6.0
204,205,2824,479,27,False,50,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.3,22.5,0.3,42.78333333333333,11.483333333333333,105.0,6.0,2.0,0.0,103.0,6.0
205,206,2824,479,27,True,51,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.01666666666665,22.6,0.3,43.083333333333336,11.55,105.0,6.0,2.0,0.0,103.0,6.0
206,207,2824,479,27,True,52,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.73333333333335,22.7,0.3,43.38333333333333,11.616666666666667,105.0,6.0,2.0,0.0,103.0,6.0
207,208,2824,479,27,True,53,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.45,22.8,0.3,43.68333333333333,11.683333333333334,105.0,6.0,2.0,0.0,103.0,6.0
208,209,2824,479,27,True,54,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.1666666666667,22.9,0.3,43.98333333333333,11.766666666666667,105.0,6.0,2.0,0.0,103.0,6.0
209,210,2824,479,27,True,55,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.8833333333333,23.0,0.3,44.28333333333333,11.85,105.0,6.0,2.0,0.0,103.0,6.0
210,211,2824,479,27,True,56,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.56666666666666,23.1,0.3166666666666666,44.6,11.95,103.0,6.0,2.0,0.0,101.0,6.0
211,212,2824,479,27,True,57,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.1666666666667,23.2,0.3333333333333333,44.93333333333333,12.05,98.0,6.0,2.0,0.0,96.0,6.0
212,213,2824,479,27,True,58,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.76666666666665,23.3,0.35,45.28333333333333,12.15,98.0,6.0,2.0,0.0,96.0,6.0
213,214,2824,479,27,True,59,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.3333333333333,23.4,0.3666666666666666,45.65,12.233333333333333,96.0,6.0,2.0,0.0,94.0,6.0
214,215,2824,479,27,True,60,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.78333333333336,23.5,0.3833333333333333,46.03333333333333,12.316666666666666,89.0,6.0,2.0,0.0,87.0,6.0
215,216,2825,480,27,False,60,15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,441.1833333333333,23.6,0.3833333333333333,46.41666666666666,12.383333333333333,86.0,6.0,2.0,0.0,84.0,6.0
216,217,2835,481,27,False,60,15,10.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,442.53333333333336,23.7,0.3833333333333333,46.8,12.45,83.0,6.0,2.0,0.0,81.0,6.0
